X,Y,OBJECTID,NAME,ADDRESS,ID,ZIPCODE,WARD
-77.0272669488335,38.9537377559586,177,CVS(Allpoint),5227 GEORGIA AVENUE NW,3,20011,4
-77.0337241307392,38.9098190385009,178,Wells Fargo,1447 P STREET NW,1,20005,5
-76.9702688975994,38.9195911965289,179,Wells Fargo,2119 BLADENSBURG ROAD NE,2,20018,5
-76.9949320031424,38.9057834622557,180,PNC,800 FLORIDA AVENUE NE,3,20002,5
-76.9988269336532,38.9100921686942,181,PNC,1348 4TH STREET NE,4,20002,5
-77.0119514798865,38.90682864987,182,Bank of America,1225 1ST STREET NW,5,20001,5
-76.9881164676089,38.9174001250951,183,Transit Employees FCU(Money Pass),1401 W STREET NE,6,20018,5
-76.9718299042883,38.9189918086824,184,Transit Employees FCU(Money Pass),2000 BLADENSBURG ROAD NE,7,20018,5
-76.9969809655873,38.9220086301187,185,CVS(Allpoint),660 RHODE ISLAND AVENUE NE,8,20002,5
-76.9892135186349,38.9205102670926,186,7-Eleven(Allpoint),1233 BRENTWOOD ROAD NE,9,20018,5
-76.9908279309962,38.9258844096025,187,Lowest Price Franklin(Allpoint),2800 12TH STREET NE,10,20017,5
-76.9824276151357,38.9020753131949,188,7-Eleven(Allpoint),900 BLADENSBURG ROAD NE,11,20002,5
-76.9821152668532,38.9013166719975,189,CVS(Allpoint),845 BLADENSBURG ROAD NE,12,20002,5
-76.9909089153595,38.9338151527203,190,CVS(Allpoint),3601 12TH STREET NE,13,20017,5
-77.0008667094239,38.9412957230973,191,7-Eleven(Allpoint),333 HAWAII AVENUE NE,14,20011,5
-76.9915200684101,38.9349174546352,192,7-Eleven(Allpoint),3700 12TH STREET NE,15,20017,5
-77.0063579751107,38.9060949978254,193,Wells Fargo,1200 1ST STREET NE,1,20002,6
-77.0079043646102,38.8767962482094,194,Wells Fargo,20 M STREET SE,2,20003,6
-77.0028620259754,38.8870967627509,195,Wells Fargo,215 PENNSYLVANIA AVENUE SE,3,20003,6
-77.0098275355129,38.8958298226922,196,Wells Fargo,444 NORTH CAPITOL STREET NW,4,20001,6
-77.0183549174045,38.9034968008899,197,Wells Fargo,490 L STREET NW,5,20001,6
-77.0210633809487,38.8859695711976,198,Wells Fargo,600 MARYLAND AVENUE SW,6,20024,6
-77.0116100899612,38.9004096011305,199,Capital one ,85 H STREET NW,7,20001,6
-77.0187003855464,38.9033106334833,200,Capital one ,1075 5TH STREET NW,8,20001,6
-76.9912758498376,38.9004176899239,201,Bank of America,1102 H STREET NE,9,20002,6
-77.030451164614,38.8836095560271,202,Bank of America,1330 MARYLAND AVENUE SW,10,20024,6
-76.9951863526649,38.9004053047284,203,Bank of America,722 H STREET NE,11,20002,6
-77.0061814140196,38.8975462563329,204,Bank of America,50 MASSACHUSETTS AVENUE NE,12,20002,6
-76.9952482659273,38.8829935624944,205,Bank of America,425 8TH STREET SE,13,20003,6
-77.0069921524449,38.8762634596959,206,Bank of America,55 M STREET SE,14,20003,6
-76.9865981065743,38.880353522359,207,Signal Financial ,1391 PENNSYLVANIA AVENUE SE,15,20003,6
-77.0031803224971,38.9039603283002,208,Treasury Dept. FCU,1101 2ND STREET NE,16,20002,6
-77.0044398615502,38.8967765707565,209,Treasury Dept. FCU,1 COLUMBUS CIRCLE NE,17,20002,6
-77.0071198294106,38.9015369969239,210,HEW FCU,888 1ST STREET NE,18,20002,6
-77.0143967378332,38.8868833125656,211,HEW FCU,200 INDEPENDENCE AVENUE SW,19,20201,6
-77.0300373257247,38.8867243121065,212,Agriculture FCU,1400 INDEPENDENCE AVENUE SW,20,20250,6
-77.0163637171089,38.8836031009287,213,Agriculture FCU,355 E STREET SW,21,20024,6
-76.9886528611096,38.8820641630786,214,Sunoco(Allpoint),1248 PENNSYLVANIA AVENUE SE,22,20003,6
-76.9899573317509,38.8826168570518,215,CVS(Allpoint),500 12TH STREET SE,23,20003,6
-76.9846838054597,38.880330675974,216,Treasury Dept. FCU(Money Pass),1400 PENNSYLVANIA AVENUE SE,24,20003,6
-77.0285142852453,38.8832934001783,217,Narfe Premier(Money Pass),445 12TH STREET SW,25,20554,6
-76.9909378425736,38.9004066740006,218,Transit Employee FCU(Money Pass),1114 H STREET NE,27,20002,6
-76.9881158458634,38.8816821539792,219,Lafyette FCU(Money Pass),1300 PENNSYLVANIA AVENUE SE,28,20003,6
-77.0071198294106,38.9015369969239,220,Democracy FCU(Money Pass),888 1ST STREET NE,29,20002,6
